fullname,permanentNumber,code,Constructors,points,wins
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Pascal Wehrlein,94,WEH,Manor Marussia,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Nico Rosberg,6,ROS,Mercedes,153,5
Lewis Hamilton,44,HAM,Mercedes,142,3
Sebastian Vettel,5,VET,Ferrari,96,0
Kimi Räikkönen,7,RAI,Ferrari,96,0
Daniel Ricciardo,3,RIC,Red Bull,88,0
Max Verstappen,33,VER,Toro Rosso,72,1
Valtteri Bottas,77,BOT,Williams,54,0
Sergio Pérez,11,PER,Force India,39,0
Felipe Massa,19,MAS,Williams,38,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Daniil Kvyat,26,KVY,Red Bull,22,0
Carlos Sainz,55,SAI,Toro Rosso,22,0
Nico Hülkenberg,27,HUL,Force India,20,0
Fernando Alonso,14,ALO,McLaren,18,0
Jenson Button,22,BUT,McLaren,13,0
Kevin Magnussen,20,MAG,Renault,6,0
Pascal Wehrlein,94,WEH,Manor Marussia,1,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Nico Rosberg,6,ROS,Mercedes,168,5
Lewis Hamilton,44,HAM,Mercedes,167,4
Kimi Räikkönen,7,RAI,Ferrari,106,0
Daniel Ricciardo,3,RIC,Red Bull,100,0
Sebastian Vettel,5,VET,Ferrari,98,0
Max Verstappen,33,VER,Toro Rosso,90,1
Valtteri Bottas,77,BOT,Williams,54,0
Sergio Pérez,11,PER,Force India,47,0
Felipe Massa,19,MAS,Williams,38,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Nico Hülkenberg,27,HUL,Force India,26,0
Carlos Sainz,55,SAI,Toro Rosso,26,0
Daniil Kvyat,26,KVY,Red Bull,23,0
Fernando Alonso,14,ALO,McLaren,18,0
Jenson Button,22,BUT,McLaren,13,0
Kevin Magnussen,20,MAG,Renault,6,0
Pascal Wehrlein,94,WEH,Manor Marussia,1,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Lewis Hamilton,44,HAM,Mercedes,192,5
Nico Rosberg,6,ROS,Mercedes,186,5
Daniel Ricciardo,3,RIC,Red Bull,115,0
Kimi Räikkönen,7,RAI,Ferrari,114,0
Sebastian Vettel,5,VET,Ferrari,110,0
Max Verstappen,33,VER,Toro Rosso,100,1
Valtteri Bottas,77,BOT,Williams,56,0
Sergio Pérez,11,PER,Force India,47,0
Felipe Massa,19,MAS,Williams,38,0
Carlos Sainz,55,SAI,Toro Rosso,30,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Nico Hülkenberg,27,HUL,Force India,27,0
Fernando Alonso,14,ALO,McLaren,24,0
Daniil Kvyat,26,KVY,Red Bull,23,0
Jenson Button,22,BUT,McLaren,13,0
Kevin Magnussen,20,MAG,Renault,6,0
Pascal Wehrlein,94,WEH,Manor Marussia,1,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Lewis Hamilton,44,HAM,Mercedes,217,6
Nico Rosberg,6,ROS,Mercedes,198,5
Daniel Ricciardo,3,RIC,Red Bull,133,0
Kimi Räikkönen,7,RAI,Ferrari,122,0
Sebastian Vettel,5,VET,Ferrari,120,0
Max Verstappen,33,VER,Toro Rosso,115,1
Valtteri Bottas,77,BOT,Williams,58,0
Sergio Pérez,11,PER,Force India,48,0
Felipe Massa,19,MAS,Williams,38,0
Nico Hülkenberg,27,HUL,Force India,33,0
Carlos Sainz,55,SAI,Toro Rosso,30,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Fernando Alonso,14,ALO,McLaren,24,0
Daniil Kvyat,26,KVY,Red Bull,23,0
Jenson Button,22,BUT,McLaren,17,0
Kevin Magnussen,20,MAG,Renault,6,0
Pascal Wehrlein,94,WEH,Manor Marussia,1,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Lewis Hamilton,44,HAM,Mercedes,232,6
Nico Rosberg,6,ROS,Mercedes,223,6
Daniel Ricciardo,3,RIC,Red Bull,151,0
Sebastian Vettel,5,VET,Ferrari,128,0
Kimi Räikkönen,7,RAI,Ferrari,124,0
Max Verstappen,33,VER,Toro Rosso,115,1
Valtteri Bottas,77,BOT,Williams,62,0
Sergio Pérez,11,PER,Force India,58,0
Nico Hülkenberg,27,HUL,Force India,45,0
Felipe Massa,19,MAS,Williams,39,0
Fernando Alonso,14,ALO,McLaren,30,0
Carlos Sainz,55,SAI,Toro Rosso,30,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Daniil Kvyat,26,KVY,Red Bull,23,0
Jenson Button,22,BUT,McLaren,17,0
Kevin Magnussen,20,MAG,Renault,6,0
Pascal Wehrlein,94,WEH,Manor Marussia,1,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Esteban Ocon,31,OCO,Manor Marussia,0,0
Lewis Hamilton,44,HAM,Mercedes,250,6
Nico Rosberg,6,ROS,Mercedes,248,7
Daniel Ricciardo,3,RIC,Red Bull,161,0
Sebastian Vettel,5,VET,Ferrari,143,0
Kimi Räikkönen,7,RAI,Ferrari,136,0
Max Verstappen,33,VER,Toro Rosso,121,1
Valtteri Bottas,77,BOT,Williams,70,0
Sergio Pérez,11,PER,Force India,62,0
Nico Hülkenberg,27,HUL,Force India,46,0
Felipe Massa,19,MAS,Williams,41,0
Fernando Alonso,14,ALO,McLaren,30,0
Carlos Sainz,55,SAI,Toro Rosso,30,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Daniil Kvyat,26,KVY,Red Bull,23,0
Jenson Button,22,BUT,McLaren,17,0
Kevin Magnussen,20,MAG,Renault,6,0
Pascal Wehrlein,94,WEH,Manor Marussia,1,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Esteban Ocon,31,OCO,Manor Marussia,0,0
Nico Rosberg,6,ROS,Mercedes,273,8
Lewis Hamilton,44,HAM,Mercedes,265,6
Daniel Ricciardo,3,RIC,Red Bull,179,0
Sebastian Vettel,5,VET,Ferrari,153,0
Kimi Räikkönen,7,RAI,Ferrari,148,0
Max Verstappen,33,VER,Toro Rosso,129,1
Valtteri Bottas,77,BOT,Williams,70,0
Sergio Pérez,11,PER,Force India,66,0
Nico Hülkenberg,27,HUL,Force India,46,0
Felipe Massa,19,MAS,Williams,41,0
Fernando Alonso,14,ALO,McLaren,36,0
Carlos Sainz,55,SAI,Toro Rosso,30,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Daniil Kvyat,26,KVY,Red Bull,25,0
Jenson Button,22,BUT,McLaren,17,0
Kevin Magnussen,20,MAG,Renault,7,0
Pascal Wehrlein,94,WEH,Manor Marussia,1,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Esteban Ocon,31,OCO,Manor Marussia,0,0
Nico Rosberg,6,ROS,Mercedes,288,8
Lewis Hamilton,44,HAM,Mercedes,265,6
Daniel Ricciardo,3,RIC,Red Bull,204,1
Kimi Räikkönen,7,RAI,Ferrari,160,0
Sebastian Vettel,5,VET,Ferrari,153,0
Max Verstappen,33,VER,Toro Rosso,147,1
Valtteri Bottas,77,BOT,Williams,80,0
Sergio Pérez,11,PER,Force India,74,0
Nico Hülkenberg,27,HUL,Force India,50,0
Fernando Alonso,14,ALO,McLaren,42,0
Felipe Massa,19,MAS,Williams,41,0
Carlos Sainz,55,SAI,Toro Rosso,30,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Daniil Kvyat,26,KVY,Red Bull,25,0
Jenson Button,22,BUT,McLaren,19,0
Kevin Magnussen,20,MAG,Renault,7,0
Jolyon Palmer,30,PAL,Renault,1,0
Pascal Wehrlein,94,WEH,Manor Marussia,1,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Esteban Ocon,31,OCO,Manor Marussia,0,0
Nico Rosberg,6,ROS,Mercedes,313,9
Lewis Hamilton,44,HAM,Mercedes,280,6
Daniel Ricciardo,3,RIC,Red Bull,212,1
Kimi Räikkönen,7,RAI,Ferrari,170,0
Max Verstappen,33,VER,Toro Rosso,165,1
Sebastian Vettel,5,VET,Ferrari,165,0
Valtteri Bottas,77,BOT,Williams,81,0
Sergio Pérez,11,PER,Force India,80,0
Nico Hülkenberg,27,HUL,Force India,54,0
Felipe Massa,19,MAS,Williams,43,0
Fernando Alonso,14,ALO,McLaren,42,0
Carlos Sainz,55,SAI,Toro Rosso,30,0
Romain Grosjean,8,GRO,Haas F1 Team,28,0
Daniil Kvyat,26,KVY,Red Bull,25,0
Jenson Button,22,BUT,McLaren,19,0
Kevin Magnussen,20,MAG,Renault,7,0
Jolyon Palmer,30,PAL,Renault,1,0
Pascal Wehrlein,94,WEH,Manor Marussia,1,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Esteban Ocon,31,OCO,Manor Marussia,0,0
Nico Rosberg,6,ROS,Mercedes,331,9
Lewis Hamilton,44,HAM,Mercedes,305,7
Daniel Ricciardo,3,RIC,Red Bull,227,1
Sebastian Vettel,5,VET,Ferrari,177,0
Kimi Räikkönen,7,RAI,Ferrari,170,0
Max Verstappen,33,VER,Toro Rosso,165,1
Sergio Pérez,11,PER,Force India,84,0
Valtteri Bottas,77,BOT,Williams,81,0
Nico Hülkenberg,27,HUL,Force India,54,0
Fernando Alonso,14,ALO,McLaren,52,0
Felipe Massa,19,MAS,Williams,49,0
Carlos Sainz,55,SAI,Toro Rosso,38,0
Romain Grosjean,8,GRO,Haas F1 Team,29,0
Daniil Kvyat,26,KVY,Red Bull,25,0
Jenson Button,22,BUT,McLaren,21,0
Kevin Magnussen,20,MAG,Renault,7,0
Jolyon Palmer,30,PAL,Renault,1,0
Pascal Wehrlein,94,WEH,Manor Marussia,1,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Esteban Ocon,31,OCO,Manor Marussia,0,0
Nico Rosberg,6,ROS,Mercedes,349,9
Lewis Hamilton,44,HAM,Mercedes,330,8
Daniel Ricciardo,3,RIC,Red Bull,242,1
Sebastian Vettel,5,VET,Ferrari,187,0
Kimi Räikkönen,7,RAI,Ferrari,178,0
Max Verstappen,33,VER,Toro Rosso,177,1
Sergio Pérez,11,PER,Force India,85,0
Valtteri Bottas,77,BOT,Williams,85,0
Nico Hülkenberg,27,HUL,Force India,60,0
Fernando Alonso,14,ALO,McLaren,52,0
Felipe Massa,19,MAS,Williams,51,0
Carlos Sainz,55,SAI,Toro Rosso,38,0
Romain Grosjean,8,GRO,Haas F1 Team,29,0
Daniil Kvyat,26,KVY,Red Bull,25,0
Jenson Button,22,BUT,McLaren,21,0
Kevin Magnussen,20,MAG,Renault,7,0
Jolyon Palmer,30,PAL,Renault,1,0
Pascal Wehrlein,94,WEH,Manor Marussia,1,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Felipe Nasr,12,NAS,Sauber,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Esteban Ocon,31,OCO,Manor Marussia,0,0
Nico Rosberg,6,ROS,Mercedes,367,9
Lewis Hamilton,44,HAM,Mercedes,355,9
Daniel Ricciardo,3,RIC,Red Bull,246,1
Sebastian Vettel,5,VET,Ferrari,197,0
Max Verstappen,33,VER,Toro Rosso,192,1
Kimi Räikkönen,7,RAI,Ferrari,178,0
Sergio Pérez,11,PER,Force India,97,0
Valtteri Bottas,77,BOT,Williams,85,0
Nico Hülkenberg,27,HUL,Force India,66,0
Fernando Alonso,14,ALO,McLaren,53,0
Felipe Massa,19,MAS,Williams,51,0
Carlos Sainz,55,SAI,Toro Rosso,46,0
Romain Grosjean,8,GRO,Haas F1 Team,29,0
Daniil Kvyat,26,KVY,Red Bull,25,0
Jenson Button,22,BUT,McLaren,21,0
Kevin Magnussen,20,MAG,Renault,7,0
Felipe Nasr,12,NAS,Sauber,2,0
Jolyon Palmer,30,PAL,Renault,1,0
Pascal Wehrlein,94,WEH,Manor Marussia,1,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Esteban Ocon,31,OCO,Manor Marussia,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Nico Rosberg,6,ROS,Mercedes,385,9
Lewis Hamilton,44,HAM,Mercedes,380,10
Daniel Ricciardo,3,RIC,Red Bull,256,1
Sebastian Vettel,5,VET,Ferrari,212,0
Max Verstappen,33,VER,Toro Rosso,204,1
Kimi Räikkönen,7,RAI,Ferrari,186,0
Sergio Pérez,11,PER,Force India,101,0
Valtteri Bottas,77,BOT,Williams,85,0
Nico Hülkenberg,27,HUL,Force India,72,0
Fernando Alonso,14,ALO,McLaren,54,0
Felipe Massa,19,MAS,Williams,53,0
Carlos Sainz,55,SAI,Toro Rosso,46,0
Romain Grosjean,8,GRO,Haas F1 Team,29,0
Daniil Kvyat,26,KVY,Red Bull,25,0
Jenson Button,22,BUT,McLaren,21,0
Kevin Magnussen,20,MAG,Renault,7,0
Felipe Nasr,12,NAS,Sauber,2,0
Jolyon Palmer,30,PAL,Renault,1,0
Pascal Wehrlein,94,WEH,Manor Marussia,1,0
Stoffel Vandoorne,2,VAN,McLaren,1,0
Esteban Gutiérrez,21,GUT,Haas F1 Team,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Esteban Ocon,31,OCO,Manor Marussia,0,0
Rio Haryanto,88,HAR,Manor Marussia,0,0
Sebastian Vettel,5,VET,Ferrari,25,1
Lewis Hamilton,44,HAM,Mercedes,18,0
Valtteri Bottas,77,BOT,Mercedes,15,0
Kimi Räikkönen,7,RAI,Ferrari,12,0
Max Verstappen,33,VER,Red Bull,10,0
Felipe Massa,19,MAS,Williams,8,0
Sergio Pérez,11,PER,Force India,6,0
Carlos Sainz,55,SAI,Toro Rosso,4,0
Daniil Kvyat,26,KVY,Toro Rosso,2,0
Esteban Ocon,31,OCO,Force India,1,0
Nico Hülkenberg,27,HUL,Renault,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Stoffel Vandoorne,2,VAN,McLaren,0,0
Fernando Alonso,14,ALO,McLaren,0,0
Kevin Magnussen,20,MAG,Haas F1 Team,0,0
Lance Stroll,18,STR,Williams,0,0
Daniel Ricciardo,3,RIC,Red Bull,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Jolyon Palmer,30,PAL,Renault,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Sebastian Vettel,5,VET,Ferrari,43,1
Lewis Hamilton,44,HAM,Mercedes,43,1
Max Verstappen,33,VER,Red Bull,25,0
Valtteri Bottas,77,BOT,Mercedes,23,0
Kimi Räikkönen,7,RAI,Ferrari,22,0
Daniel Ricciardo,3,RIC,Red Bull,12,0
Carlos Sainz,55,SAI,Toro Rosso,10,0
Felipe Massa,19,MAS,Williams,8,0
Sergio Pérez,11,PER,Force India,8,0
Kevin Magnussen,20,MAG,Haas F1 Team,4,0
Daniil Kvyat,26,KVY,Toro Rosso,2,0
Esteban Ocon,31,OCO,Force India,2,0
Nico Hülkenberg,27,HUL,Renault,0,0
Romain Grosjean,8,GRO,Haas F1 Team,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Stoffel Vandoorne,2,VAN,McLaren,0,0
Jolyon Palmer,30,PAL,Renault,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Fernando Alonso,14,ALO,McLaren,0,0
Lance Stroll,18,STR,Williams,0,0
Sebastian Vettel,5,VET,Ferrari,68,2
Lewis Hamilton,44,HAM,Mercedes,61,1
Valtteri Bottas,77,BOT,Mercedes,38,0
Kimi Räikkönen,7,RAI,Ferrari,34,0
Max Verstappen,33,VER,Red Bull,25,0
Daniel Ricciardo,3,RIC,Red Bull,22,0
Felipe Massa,19,MAS,Williams,16,0
Sergio Pérez,11,PER,Force India,14,0
Carlos Sainz,55,SAI,Toro Rosso,10,0
Romain Grosjean,8,GRO,Haas F1 Team,4,0
Kevin Magnussen,20,MAG,Haas F1 Team,4,0
Esteban Ocon,31,OCO,Force India,3,0
Nico Hülkenberg,27,HUL,Renault,2,0
Daniil Kvyat,26,KVY,Toro Rosso,2,0
Pascal Wehrlein,94,WEH,Sauber,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Jolyon Palmer,30,PAL,Renault,0,0
Stoffel Vandoorne,2,VAN,McLaren,0,0
Fernando Alonso,14,ALO,McLaren,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Lance Stroll,18,STR,Williams,0,0
Sebastian Vettel,5,VET,Ferrari,86,2
Lewis Hamilton,44,HAM,Mercedes,73,1
Valtteri Bottas,77,BOT,Mercedes,63,1
Kimi Räikkönen,7,RAI,Ferrari,49,0
Max Verstappen,33,VER,Red Bull,35,0
Daniel Ricciardo,3,RIC,Red Bull,22,0
Sergio Pérez,11,PER,Force India,22,0
Felipe Massa,19,MAS,Williams,18,0
Carlos Sainz,55,SAI,Toro Rosso,11,0
Esteban Ocon,31,OCO,Force India,9,0
Nico Hülkenberg,27,HUL,Renault,6,0
Romain Grosjean,8,GRO,Haas F1 Team,4,0
Kevin Magnussen,20,MAG,Haas F1 Team,4,0
Daniil Kvyat,26,KVY,Toro Rosso,2,0
Pascal Wehrlein,94,WEH,Sauber,0,0
Lance Stroll,18,STR,Williams,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Jolyon Palmer,30,PAL,Renault,0,0
Stoffel Vandoorne,2,VAN,McLaren,0,0
Fernando Alonso,14,ALO,McLaren,0,0
Marcus Ericsson,9,ERI,Sauber,0,0
Sebastian Vettel,5,VET,Ferrari,104,2
Lewis Hamilton,44,HAM,Mercedes,98,2
Valtteri Bottas,77,BOT,Mercedes,63,1
Kimi Räikkönen,7,RAI,Ferrari,49,0
Daniel Ricciardo,3,RIC,Red Bull,37,0
Max Verstappen,33,VER,Red Bull,35,0
Sergio Pérez,11,PER,Force India,34,0
Esteban Ocon,31,OCO,Force India,19,0
Felipe Massa,19,MAS,Williams,18,0
Carlos Sainz,55,SAI,Toro Rosso,17,0
Nico Hülkenberg,27,HUL,Renault,14,0
Romain Grosjean,8,GRO,Haas F1 Team,5,0
Pascal Wehrlein,94,WEH,Sauber,4,0
Kevin Magnussen,20,MAG,Haas F1 Team,4,0
Daniil Kvyat,26,KVY,Toro Rosso,4,0
Marcus Ericsson,9,ERI,Sauber,0,0
Lance Stroll,18,STR,Williams,0,0
Fernando Alonso,14,ALO,McLaren,0,0
Antonio Giovinazzi,99,GIO,Sauber,0,0
Jolyon Palmer,30,PAL,Renault,0,0
Stoffel Vandoorne,2,VAN,McLaren,0,0
Sebastian Vettel,5,VET,Ferrari,129,3
Lewis Hamilton,44,HAM,Mercedes,104,2
Valtteri Bottas,77,BOT,Mercedes,75,1
Kimi Räikkönen,7,RAI,Ferrari,67,0
Daniel Ricciardo,3,RIC,Red Bull,52,0
Max Verstappen,33,VER,Red Bull,45,0
Sergio Pérez,11,PER,Force India,34,0
